paper_spec,model,paper,workflow_state,current_outcome,strict_gate_passed,failure_type,api_clean_current,original_CG,original_REA,final_CG,final_REA,delta_CG,delta_REA,quality_tier,retained_correct_ratio,protocol,metric_fallback_applied
claude_sonnet_4_5_20250929:s41467-025-55907-w,claude_sonnet_4_5_20250929,s41467-025-55907-w,current_version,strict_success,true,,true,1.0,0.3157894736842105,1.0,1.0,0.0,0.6842105263157895,A_main,0.21052631578947367,vote_reuse_repair_root,false
claude_sonnet_4_5_20250929:s41467-025-55999-4,claude_sonnet_4_5_20250929,s41467-025-55999-4,current_version,strict_success,true,,true,0.9,0.2727272727272727,1.0,1.0,0.09999999999999998,0.7272727272727273,A_main,0.18181818181818182,vote_reuse_repair_root,false
claude_sonnet_4_5_20250929:s41467-025-56034-2,claude_sonnet_4_5_20250929,s41467-025-56034-2,current_version,strict_success,true,,true,1.0,0.24,1,1,0,0.76,repair,0.24,vote_reuse_repair_root + evidence_bound_local_window_closeout,false
claude_sonnet_4_5_20250929:s41467-025-56075-7,claude_sonnet_4_5_20250929,s41467-025-56075-7,current_version,strict_success,true,,true,0.0,0.0,1,1,1,1,evidence_bound_closeout,,vote_reuse_repair_root + evidence_bound_local_window_closeout,false
claude_sonnet_4_5_20250929:s41467-025-56106-3,claude_sonnet_4_5_20250929,s41467-025-56106-3,current_version,strict_success,true,,true,1.0,0.09523809523809523,1.0,1.0,0.0,0.9047619047619048,A_main,0.0,vote_reuse_repair_root,false
claude_sonnet_4_5_20250929:s41467-025-56250-w,claude_sonnet_4_5_20250929,s41467-025-56250-w,current_version,strict_success,true,,true,0.8888888888888888,0.07142857142857142,1.0,1.0,0.11111111111111116,0.9285714285714286,B_usable,0.07142857142857142,vote_reuse_repair_root,false
claude_sonnet_4_5_20250929:s41467-025-56283-1,claude_sonnet_4_5_20250929,s41467-025-56283-1,current_version,strict_success,true,,true,0.0,0.0,1,1,1,1,evidence_bound_closeout,,vote_reuse_repair_root + evidence_bound_local_window_closeout,false
claude_sonnet_4_5_20250929:s41467-025-56295-x,claude_sonnet_4_5_20250929,s41467-025-56295-x,current_version,strict_success,true,,true,1.0,0.19047619047619047,1.0,1.0,0.0,0.8095238095238095,A_main,0.047619047619047616,vote_reuse_repair_root,false
claude_sonnet_4_5_20250929:s41467-025-56359-y,claude_sonnet_4_5_20250929,s41467-025-56359-y,current_version,strict_success,true,,true,0.8181818181818182,0.21052631578947367,1.0,1.0,0.18181818181818177,0.7894736842105263,A_main,0.0,vote_reuse_repair_root,false
claude_sonnet_4_5_20250929:s41467-025-56394-9,claude_sonnet_4_5_20250929,s41467-025-56394-9,current_version,strict_success,true,,true,0.7692307692307694,0.16666666666666666,1.0,1.0,0.23076923076923062,0.8333333333333334,A_main,0.08333333333333333,vote_reuse_repair_root,false
