priority,lane,paper_spec,model,paper,failure_type,current_original_CG,current_original_REA,current_final_CG,current_final_REA,delta_CG,delta_REA,final_covered_entities,final_total_entities,final_missing_entities,has_terminal_graph,has_terminal_eval,preferred_next_candidate_source,next_action,quality_guard,current_best_main_factual_ans
1,anchor_bootstrap_then_semantic_repair,claude_sonnet_4_5_20250929:s41467-025-56283-1,claude_sonnet_4_5_20250929,s41467-025-56283-1,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,12,12,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.867)",0.8666666666666667
2,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56283-1,gemini_3_1_pro_preview,s41467-025-56283-1,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,15,15,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (1.000)",1.0
3,anchor_bootstrap_then_semantic_repair,grok_4_1_thinking:s41467-025-56283-1,grok_4_1_thinking,s41467-025-56283-1,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,12,12,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.779)",0.7788461538461539
4,anchor_bootstrap_then_semantic_repair,claude_sonnet_4_5_20250929:s41467-025-56075-7,claude_sonnet_4_5_20250929,s41467-025-56075-7,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.604)",0.6038647342995169
5,anchor_bootstrap_then_semantic_repair,claude_sonnet_4_5_20250929:s41467-025-56769-y,claude_sonnet_4_5_20250929,s41467-025-56769-y,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.720)",0.72
6,anchor_bootstrap_then_semantic_repair,claude_sonnet_4_5_20250929:s41467-025-56786-x,claude_sonnet_4_5_20250929,s41467-025-56786-x,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,7,7,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.742)",0.7417582417582418
7,anchor_bootstrap_then_semantic_repair,claude_sonnet_4_5_20250929:s41467-025-56912-9,claude_sonnet_4_5_20250929,s41467-025-56912-9,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,12,12,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.648)",0.647887323943662
8,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56034-2,gemini_3_1_pro_preview,s41467-025-56034-2,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,7,7,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.882)",0.8823529411764706
9,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56075-7,gemini_3_1_pro_preview,s41467-025-56075-7,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (1.000)",1.0
10,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56635-x,gemini_3_1_pro_preview,s41467-025-56635-x,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (1.000)",1.0
