paper_spec,model,candidate_label,source_current_outcome,source_failure_type,source_final_CG,source_final_REA,candidate_CG,candidate_REA,candidate_valid_reasoning_steps,candidate_total_reasoning_steps,candidate_covered_entities,candidate_total_entities,raw_main_factual_ans,step2_main_factual_ans,current_best_main_factual_ans,mergeable,original_version_overwrite_executed,controller_route,controller_status,controller_failure_type,candidate_main_factual_ans,guard_current_best_main_factual_ans,guard_margin,ans_guard_passed,mergeable_with_ans_guard
claude_sonnet_4_5_20250929:s41467-025-56034-2,claude_sonnet_4_5_20250929,after327-pareto-terminal-plus-step2-v1-claude_sonnet_4_5_20250929_s41467-025-56034-2,typed_residual,metric_regression,0.8,1.0,1.0,1.0,8,8,10,10,0.7621621621621621,0.7864583333333334,0.7864583333333334,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,metric_regression,0.8040540540540541,0.7864583333333334,0.017595720720720687,True,True
gemini_3_1_pro_preview:s41467-025-56075-7,gemini_3_1_pro_preview,gemini56075-rootexact-v2,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,2,2,10,10,0.6829268292682927,1.0,1.0,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,1.0,1.0,0.0,True,True
gemini_3_1_pro_preview:s41467-025-56283-1,gemini_3_1_pro_preview,gemini56283-compact-source-seed-v6,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,15,15,0.8918918918918919,1.0,1.0,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,1.0,1.0,0.0,True,True
gemini_3_1_pro_preview:s41467-025-56522-5,gemini_3_1_pro_preview,after327-56522-supervised-methods-evidence-bridge-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,11,11,0.8,0.7692307692307693,0.8,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,0.8478260869565217,0.8,0.047826086956521685,True,True
gemini_3_1_pro_preview:s41467-025-56667-3,gemini_3_1_pro_preview,gemini56667-ansdelta-v7-coulomb-only,typed_residual,metric_regression,0.5714285714285714,1.0,1.0,1.0,2,2,7,7,0.8518518518518519,0.75,0.8518518518518519,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,metric_regression,0.9333333333333333,0.8518518518518519,0.08148148148148149,True,True
gemini_3_1_pro_preview:s41467-025-56698-w,gemini_3_1_pro_preview,gemini56698-compact-source-seed-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,10,10,0.8359375,1.0,1.0,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,1.0,1.0,0.0,True,True
gemini_3_1_pro_preview:s41467-025-56724-x,gemini_3_1_pro_preview,after327-56724-phasecondition-rb-clarity-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,7,7,0.896551724137931,0.5666666666666667,0.896551724137931,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,1.0,0.896551724137931,0.10344827586206895,True,True
gemini_3_1_pro_preview:s41467-025-56850-6,gemini_3_1_pro_preview,after327-56850-source27-mice-psychoactive-bridge-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,9,9,0.6195652173913043,0.5842696629213483,0.6195652173913043,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,0.9761904761904762,0.6195652173913043,0.35662525879917184,True,True
gemini_3_1_pro_preview:s41467-025-56852-4,gemini_3_1_pro_preview,gemini56852-compact-source-seed-v1,typed_residual,final_metric_gate_failed,0.5333333333333333,1.0,1.0,1.0,1,1,15,15,0.7916666666666666,0.6527777777777778,0.7916666666666666,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,final_metric_gate_failed,0.9354838709677419,0.7916666666666666,0.14381720430107525,True,True
grok_4_1_thinking:s41467-025-56283-1,grok_4_1_thinking,after327-56283-energy-minimization-lexical-bridge-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,12,12,0.7788461538461539,0.7788461538461539,0.7788461538461539,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,0.9583333333333334,0.7788461538461539,0.17948717948717952,True,True
grok_4_1_thinking:s41467-025-56611-5,grok_4_1_thinking,grok56611-compact-source-seed-v1,typed_residual,final_metric_gate_failed,0.7857142857142857,1.0,1.0,1.0,1,1,14,14,0.8088235294117647,0.8795180722891566,0.8795180722891566,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,final_metric_gate_failed,1.0,0.8795180722891566,0.12048192771084343,True,True
grok_4_1_thinking:s41467-025-56786-x,grok_4_1_thinking,grok56786-compact-source-seed-v3,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,7,7,0.7435897435897436,0.75,0.75,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,1.0,0.75,0.25,True,True
