paper_spec,model,paper,workflow_state,final_CG,final_REA,source_resolution,relative_dot_path,sha256,bytes,nodes,edges,root,dot_parseable,strict_structure_ok
claude_sonnet_4_5_20250929:s41467-025-55907-w,claude_sonnet_4_5_20250929,s41467-025-55907-w,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-55907-w.dot,ef8dc21720304036968c9418e46354e0bae952653fbca801c11aff754b3e86cd,9476,43,43,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-55999-4,claude_sonnet_4_5_20250929,s41467-025-55999-4,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-55999-4.dot,1efa4b92cffa2546ef715a8a8f5709ad4aad7e5c6e23dd9df5bb6dd3951bb3a8,5208,21,20,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56034-2,claude_sonnet_4_5_20250929,s41467-025-56034-2,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56034-2.dot,8f96c14d772754c650bb2ee9313e62abf6f254057ee0a35913f080677d0d483d,7464,30,29,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56075-7,claude_sonnet_4_5_20250929,s41467-025-56075-7,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56075-7.dot,3c5d5739813f1b1985118e1a611b4183efc184cca3ef5624f28d41bc5fa5fe0a,2838,16,15,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56106-3,claude_sonnet_4_5_20250929,s41467-025-56106-3,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56106-3.dot,8505a12fd96ea61b884e38b5e60704fb2f1133079b06091a3487d3f9c20e15fd,8276,42,43,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56250-w,claude_sonnet_4_5_20250929,s41467-025-56250-w,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56250-w.dot,b58f651b37c1a5d1ae542ffce5c29002e03eb182f1c47b69a2b530b8938844af,5102,22,21,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56283-1,claude_sonnet_4_5_20250929,s41467-025-56283-1,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56283-1.dot,b2719adccc98f755df86ac4eba3ebe083e4c6d4fb003d8d91b36c94f112b91d5,6073,23,26,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56295-x,claude_sonnet_4_5_20250929,s41467-025-56295-x,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56295-x.dot,554a4b31703fd95ced5fb8f3056c08d073202a44ebca716b590893980c830ba9,8293,42,43,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56359-y,claude_sonnet_4_5_20250929,s41467-025-56359-y,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56359-y.dot,4cc336284085f5133b87dbc1a35f2bccaa6628f69797dcabd4caf5e1c4222176,7153,32,34,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56394-9,claude_sonnet_4_5_20250929,s41467-025-56394-9,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56394-9.dot,6b3f78a264394a8795f49248b962cf3a51dc77b34aea281c961d65d1b53c7481,7812,30,29,NROOT,true,true
