paper_spec,candidate_label,candidate_CG,candidate_REA,graph_exists,eval_dir_exists,fresh_eval_exists,fresh_eval_hash_matches,mergeable_verified
claude_sonnet_4_5_20250929:s41467-025-56034-2,after327-pareto-terminal-plus-step2-v1-claude_sonnet_4_5_20250929_s41467-025-56034-2,1.0,1.0,True,True,True,True,True
gemini_3_1_pro_preview:s41467-025-56075-7,gemini56075-rootexact-v2,1.0,1.0,True,True,True,True,True
gemini_3_1_pro_preview:s41467-025-56283-1,gemini56283-compact-source-seed-v6,1.0,1.0,True,True,True,True,True
gemini_3_1_pro_preview:s41467-025-56522-5,after327-56522-supervised-methods-evidence-bridge-v1,1.0,1.0,True,True,True,True,True
gemini_3_1_pro_preview:s41467-025-56667-3,gemini56667-ansdelta-v7-coulomb-only,1.0,1.0,True,True,True,True,True
gemini_3_1_pro_preview:s41467-025-56698-w,gemini56698-compact-source-seed-v1,1.0,1.0,True,True,True,True,True
gemini_3_1_pro_preview:s41467-025-56724-x,after327-56724-phasecondition-rb-clarity-v1,1.0,1.0,True,True,True,True,True
gemini_3_1_pro_preview:s41467-025-56850-6,after327-56850-source27-mice-psychoactive-bridge-v1,1.0,1.0,True,True,True,True,True
gemini_3_1_pro_preview:s41467-025-56852-4,gemini56852-compact-source-seed-v1,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56283-1,after327-56283-energy-minimization-lexical-bridge-v1,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56611-5,grok56611-compact-source-seed-v1,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56786-x,grok56786-compact-source-seed-v3,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56797-8,after327-56797-mechanism-translation-bridge-v1,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56814-w,grok56814-ansdelta-v3,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56819-5,grok56819-compact-source-seed-v1,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56873-z,grok56873-ansdelta-v15,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56882-y,grok56882-compact-source-seed-v1,1.0,1.0,True,True,True,True,True
grok_4_1_thinking:s41467-025-56887-7,after327-56887-source31-nadar-hydrolase-bridge-v1,1.0,1.0,True,True,True,True,True
qwen3_5_397b_a17b:s41467-025-56106-3,qwen56106-compact-source-seed-v1,1.0,1.0,True,True,True,True,True
qwen3_5_397b_a17b:s41467-025-56635-x,qwen56635-step2-ansdelta-v6,1.0,1.0,True,True,True,True,True
qwen3_5_397b_a17b:s41467-025-56769-y,qwen56769-compact-source-seed-v1,1.0,1.0,True,True,True,True,True
qwen3_5_397b_a17b:s41467-025-56795-w,qwen56795-compact-source-seed-v1,1.0,1.0,True,True,True,True,True
qwen3_5_397b_a17b:s41467-025-56856-0,qwen56856-barcode-ansdelta-v3,1.0,1.0,True,True,True,True,True
